health_zone,province,horizon,was_active_before,p_case_invasion,p_case_lo,p_case_hi,p_median,rank_med,rank_lo,rank_hi,mu_forecast,rr_nat,rr_nat_rank,rr01_nat,rr_ituri,rr_ituri_rank,rr_nordkivu,rr_nordkivu_rank,rr_hautuele,rr_hautuele_rank,V,priority,priority_rank,surveillance_gap,healthcare_gap,access_gap,social_vulnerability,healthcare_travel_min,method
Rethy,Ituri,1,FALSE,0.4178,0.3415,0.498,0.4195,1,1,1,0.5443,44.8802,1,1,2.9743,1,NA,NA,NA,NA,0.2703,0.6258,2,0.2143,0.6081,0,0.2587,0,Bayes-M17-med
Watsa,Haut-Uele,1,FALSE,0.3761,0.3052,0.4514,0.3773,2,2,2,0.4743,39.1111,2,0.9002,NA,NA,NA,NA,3.6204,1,0.4797,1,1,0.7297,0.8436,0,0.3456,0,Bayes-M17-med
Nyarambe,Ituri,1,FALSE,0.2194,0.1731,0.2706,0.2197,3,3,3,0.2484,20.4772,3,0.525,1.3571,2,NA,NA,NA,NA,0.1805,0.2194,11,0.1699,0.4595,0,0.0927,0,Bayes-M17-med
Biringi,Ituri,1,FALSE,0.1896,0.1505,0.2333,0.1896,4,4,4,0.2107,17.3764,4,0.4538,1.1516,3,NA,NA,NA,NA,0.3494,0.3672,3,0.3958,0.4865,0,0.5154,0,Bayes-M17-med
Mutwanga,Nord-Kivu,1,FALSE,0.1837,0.1454,0.2265,0.1837,5,5,5,0.2035,16.7768,5,0.4397,NA,NA,3.6521,1,NA,NA,0.2408,0.2452,7,0.2606,0.4672,0,0.2355,0,Bayes-M17-med
Makoro,Haut-Uele,1,FALSE,0.1418,0.1115,0.176,0.1417,6,6,6,0.1532,12.6319,6,0.3394,NA,NA,NA,NA,1.1693,2,0.3822,0.3004,5,0.556,0.5483,0,0.4247,0,Bayes-M17-med
Kayna,Nord-Kivu,1,FALSE,0.1323,0.1042,0.1638,0.1322,7,7,7,0.1422,11.7219,7,0.3167,NA,NA,2.5517,2,NA,NA,0.3113,0.2283,9,0.2278,0.6332,0,0.3842,0,Bayes-M17-med
Dungu,Haut-Uele,1,FALSE,0.1237,0.0952,0.1551,0.1235,8,8,9,0.1323,10.9076,8,0.2961,NA,NA,NA,NA,1.0097,3,0.5275,0.3617,4,0.8726,0.5598,0,0.6776,0,Bayes-M17-med
Angumu,Ituri,1,FALSE,0.1195,0.0938,0.148,0.1194,9,8,9,0.1275,10.5123,9,0.2861,0.6967,4,NA,NA,NA,NA,0.11,0.0729,35,0.1641,0.1641,0,0.112,0,Bayes-M17-med
Karisimbi,Nord-Kivu,1,FALSE,0.0968,0.0755,0.1206,0.0967,10,10,10,0.1019,8.3999,10,0.2316,NA,NA,1.8285,3,NA,NA,0.1597,0.0857,28,0.0907,0.5154,0,0.0328,0,Bayes-M17-med
Biena,Nord-Kivu,1,FALSE,0.0895,0.071,0.1102,0.0892,11,11,12,0.0938,7.7339,11,0.2141,NA,NA,1.6836,4,NA,NA,0.2013,0.0998,24,0.251,0.166,0,0.388,0,Bayes-M17-med
Linga,Ituri,1,FALSE,0.0836,0.0649,0.1048,0.0835,12,12,13,0.0874,7.2069,12,0.2001,0.4776,5,NA,NA,NA,NA,0.2148,0.0995,25,0.1969,0.3417,0,0.3205,0,Bayes-M17-med
Laybo,Ituri,1,FALSE,0.0832,0.0601,0.1114,0.082,13,11,16,0.087,7.1773,13,0.1992,0.4757,6,NA,NA,NA,NA,0.3393,0.1565,14,0.3069,0.556,0,0.4942,0,Bayes-M17-med
Jiba,Ituri,1,FALSE,0.0807,0.0628,0.1009,0.0806,14,13,16,0.0843,6.948,14,0.1932,0.4605,7,NA,NA,NA,NA,0.1651,0.0739,34,0.1815,0.1274,0,0.3514,0,Bayes-M17-med
Niangara,Haut-Uele,1,FALSE,0.0779,0.0579,0.1004,0.0776,15,12,17,0.0812,6.6972,15,0.1865,NA,NA,NA,NA,0.6199,4,0.5512,0.238,8,0.8031,0.4324,0,0.9691,0,Bayes-M17-med
Bafwagbogbo,Tshopo,1,FALSE,0.0768,0.0571,0.0987,0.0764,16,14,17,0.08,6.5956,16,0.1838,NA,NA,NA,NA,NA,NA,0.3948,0.168,12,0.8591,0.027,0,0.6931,0,Bayes-M17-med
Nyiragongo,Nord-Kivu,1,FALSE,0.0734,0.0573,0.0918,0.0733,17,15,18,0.0763,6.2943,17,0.1758,NA,NA,1.3702,5,NA,NA,0.2891,0.1177,20,0.2432,0.8764,0,0.0367,0,Bayes-M17-med
Adi,Ituri,1,FALSE,0.0717,0.0535,0.0932,0.0712,18,15,20,0.0744,6.1371,18,0.1715,0.4067,8,NA,NA,NA,NA,0.3977,0.1579,13,0.2587,0.7104,0,0.6216,0,Bayes-M17-med
Viadana,Bas-Uele,1,FALSE,0.0705,0.0521,0.0916,0.0701,19,17,21,0.0732,6.0342,19,0.1687,NA,NA,NA,NA,NA,NA,0.6846,0.2675,6,0.9131,0.9788,0,0.8465,0,Bayes-M17-med
Rutshuru,Nord-Kivu,1,FALSE,0.0668,0.052,0.0837,0.0667,20,18,20,0.0692,5.7077,20,0.16,NA,NA,1.2425,6,NA,NA,0.3721,0.1378,17,0.4093,0.9942,0,0.0849,0,Bayes-M17-med
Kirotshe,Nord-Kivu,1,FALSE,0.0636,0.0491,0.08,0.0636,21,20,21,0.0657,5.4198,21,0.1522,NA,NA,1.1798,7,NA,NA,0.3842,0.1353,18,0.3764,0.9961,0,0.1641,0,Bayes-M17-med
Alimbongo,Nord-Kivu,1,FALSE,0.062,0.0483,0.0776,0.0619,22,21,22,0.0641,5.2832,22,0.1484,NA,NA,1.1501,8,NA,NA,0.4262,0.1465,16,0.5849,0.7471,0,0.3726,0,Bayes-M17-med
