health_zone,cumulative_confirmed_cases
Aba,0
Abuzi,0
Adi,0
Adja,12
Aketi,0
Alimbongo,0
Alunguli,0
Ango,0
Angumu,0
Ankoro,0
Ariwara,10
Aru,7
Aungba,11
Bafwagbogbo,0
Bafwasende,1
Bagata,0
Bagira,0
Baka,0
Bambo,0
Bambu,93
Banalia,0
Bandalungwa,0
Bandundu,0
Banga Lubaka,0
Bangabola,0
Banzow Moke,0
Barumbu,0
Basali,0
Basankusu,0
Basoko,0
Befale,0
Bena Dibele,0
Bena Leka,0
Bena Tshadi,0
Bengamisa,0
Beni,88
Bibanga,0
Biena,0
Bikoro,0
Bili (Bas-Uele),0
Bili (Nord-Ubangi),0
Bilomba,0
Binga,0
Binza,0
Binza Meteo,0
Binza Ozone,0
Bipemba,0
Birambizo,0
Biringi,0
Biyela,0
Bobozo,0
Boende,0
Boga,1
Bogosenubea,0
Boko,0
Boko Kivulu,0
Bokonzi,0
Bokoro,0
Bokungu,0
Bolenge,0
Bolobo,0
Bolomba,0
Boma,0
Boma Bungu,0
Boma Mangbetu,22
Bominenge,0
Bomongo,0
Bondo,0
Bongandanga,0
Bonzola,0
Boso Manzi,0
Boso Mondanda,0
Bosobe,0
Bosobolo,0
Bosondjo,0
Boto,0
Budjala,0
Bukama,0
Bulape,0
Bulu,0
Bulungu,0
Bumba,0
Bumbu,0
Bunia,1072
Bunkeya,0
Bunkonde,0
Bunyakiri,0
Busanga,0
Businga,0
Buta,0
Butembo,105
Butumba,0
Bwamanda,0
Cilundu,0
Citenge,0
Damas,20
Dekese,0
Demba,0
Dibaya,0
Dibindi,0
Dikungu,0
Dilala,0
Dilolo,0
Diulu,0
Djalo Ndjeka,0
Djolu,0
Djombo,0
Djuma,0
Doruma,0
Drodro,15
Dungu,0
Faradje,0
Fataki,55
Ferekeni,0
Feshi,0
Fizi,0
Fungurume,0
Ganga,0
Gbadolite,0
Gemena,0
Gety,3
Goma,2
Gombari,1
Gombe,0
Gombe Matadi,0
Gungu,0
Haut Plateau,0
Ibanda,0
Iboko,0
Idiofa,0
Idjwi,0
Ikela,0
Ilebo,0
Inga,0
Ingende,0
Inongo,0
Ipamu,0
Irebu,0
Isangi,0
Isiro,39
Itebero,0
Itombwe,0
Jiba,0
Kabalo,0
Kabambare,0
Kabare,0
Kabeya Kamwanga,0
Kabinda,0
Kabondo,2
Kabondo Dianda,0
Kabongo,0
Kadutu,0
Kafakumba,0
Kafubu,0
Kahemba,0
Kailo,0
Kajiji,0
Kakenge,0
Kalamba,0
Kalambayi Kabanga,0
Kalamu 1,0
Kalamu 2,0
Kalehe,0
Kalemie,0
Kalenda,0
Kalima,0
Kalole,0
Kalomba,0
Kalonda Est,0
Kalonda Ouest,0
Kalonge,0
Kalunguta,10
Kamalondo,0
Kamana,0
Kamango,0
Kambala,3
Kambove,0
Kamiji,0
Kamina,0
Kamituga,0
Kamonia,0
Kampemba,0
Kampene,0
Kamwesha,0
Kananga,0
Kanda Kanda,0
Kangu,0
Kaniama,0
Kaniola,0
Kansele,0
Kansimba,0
Kanzala,0
Kanzenze,0
Kapanga,0
Kapolowe,0
Karawa,0
Karisimbi,0
Kasa Vubu,0
Kasaji,0
Kasansa,0
Kasenga,0
Kashobwe,0
Kasongo,0
Kasongo Lunda,0
Katako Kombe,0
Katana,0
Katende,0
Katoka,0
Katoyi,0
Katuba,0
Katwa,253
Kayamba,0
Kayna,0
Kaziba,0
Kenge,0
Kenya,0
Kiambi,0
Kibirizi,0
Kibombo,0
Kibua,0
Kibunzi,0
Kikimi,0
Kikongo,0
Kikula,0
Kikwit Nord,0
Kikwit Sud,0
Kilela Balanda,0
Kilo,30
Kilwa,0
Kimbanseke,0
Kimbao,0
Kimbi Lulenge,0
Kimpangu,0
Kimpese,0
Kimputu,0
Kimvula,0
Kinda,0
Kindu,0
Kingabwa,0
Kingandu,0
Kingasani,0
Kinkondja,0
Kinkonzi,0
Kinshasa,0
Kintambo,0
Kipushi,0
Kiri,0
Kirotshe,0
Kisanga,0
Kisanji,0
Kisantu,0
Kisenso,0
Kitangwa,0
Kitenda,0
Kitenge,0
Kitona,0
Kitutu,0
Kizu,0
Kokolo,0
Kole,0
Komanda,43
Kongolo,0
Koshibanda,0
Kowe,0
Kuimba,0
Kunda,0
Kungu,0
Kwamouth,0
Kwilu Ngongo,0
Kyondo,13
Laybo,0
Lemba,0
Lemera,0
Libenge,0
Likasi,0
Likati,0
Lilanga Bobangi,0
Limete,0
Linga,0
Lingomo,0
Lingwala,0
Lisala,0
Lita,169
Lodja,0
Logo,13
Loko,0
Lolo,0
Lolwa,18
Lomela,0
Lotumbe,0
Lowa,0
Lualaba,0
Luambo,0
Lubao,0
Lubero,1
Lubilanji,0
Lubondaie,0
Lubudi,0
Lubumbashi,0
Lubunga (Kasaï-Central),0
Lubunga (Tshopo),1
Lubutu,0
Ludimbi Lukula,0
Luebo,0
Luiza,0
Lukafu,0
Lukelenge,0
Lukolela,0
Lukonga,0
Lukula,0
Lulingu,0
Luozi,0
Luputa,0
Lusambo,0
Lusanga,0
Lusangi,0
Lwamba,0
Mabalako,2
Mahagi,4
Makala,0
Makanza,0
Makiso Kisangani,6
Makoro,0
Makota,0
Malemba Nkulu,0
Maluku 1,0
Maluku 2,0
Mambasa,18
Mampoko,0
Mandima,21
Mangala,120
Mangembo,0
Mangobo,1
Manguredjipa,0
Manika,0
Manono,0
Masereka,7
Masi Manimba,0
Masina 1,0
Masina 2,0
Masisi,0
Massa,0
Masuika,0
Matadi,0
Matete,0
Mawuya,0
Mbandaka,0
Mbanza Ngungu,0
Mbaya,0
Mbulula,0
Miabi,0
Mikalayi,0
Mikope,0
Mimia,0
Minembwe,0
Minga,0
