model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.03561377242974993,0.02792377451777636,0.04457485225626399,NA,1.000984226588527
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.051048421849124295,0.04061046629834633,0.06397952033556475,NA,1.0088305821804793
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.09998800685512582,0.07886098298476592,0.12478080926860802,NA,1.005276844514144
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.07572514554880248,0.05944225894468407,0.09454343709956543,NA,1.0028981954549319
Bayes-M17-geo,Intercept,TRUE,hazard ratio,0.04506073871967229,0.02490258058914526,0.07489675004456559,NA,1.0059748869505842
Bayes-M17-geo,log_pop,FALSE,hazard ratio,0.6477064012551945,0.5187083985507371,0.8151156825814938,5e-4,1.0059748869505842
Bayes-M17-geo,ccvi,FALSE,hazard ratio,1.8468423849594453,1.3603794134837017,2.7142072647136524,1,1.0059748869505842
Bayes-M17-geo,d_min,FALSE,hazard ratio,0.693565023636953,0.5268072915471314,0.9025099488450264,0.0035,1.0059748869505842
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.0752558241528585,0.059845384809829885,0.09428831991002296,NA,1.004079561778147
Bayes-M17-dist-geo,Intercept,TRUE,hazard ratio,0.06729900470015357,0.03873022149262239,0.10776714149924424,NA,1.001273795384905
Bayes-M17-dist-geo,log_pop,FALSE,hazard ratio,0.6943765340353735,0.551821494222378,0.889775710517851,0.009,1.001273795384905
Bayes-M17-dist-geo,ccvi,FALSE,hazard ratio,1.8952173951832298,1.3566997213721699,2.799258999362034,0.9995,1.001273795384905
Bayes-M17-dist-geo,d_min,FALSE,hazard ratio,0.8784886819723974,0.681844945784511,1.0984317347282095,0.1835,1.001273795384905
Bayes-M8-geo,Intercept,TRUE,hazard ratio,0.026650696758822798,0.015911060476989945,0.04276459610290759,NA,1.003175181415419
Bayes-M8-geo,log_pop,FALSE,hazard ratio,0.6095632420076501,0.48477893757816165,0.7728736720132887,5e-4,1.003175181415419
Bayes-M8-geo,ccvi,FALSE,hazard ratio,1.9222479908524344,1.3585647079606018,2.760742615379949,1,1.003175181415419
Bayes-M8-geo,d_min,FALSE,hazard ratio,0.6354143808822188,0.4968987531898084,0.8070409710556683,5e-4,1.003175181415419
Bayes-M4-geo,Intercept,TRUE,hazard ratio,0.0186154548489786,0.010296168723102196,0.03144994283236634,NA,1.0032247309885647
Bayes-M4-geo,log_pop,FALSE,hazard ratio,0.5844080934215277,0.4599850750075656,0.7527852129823711,5e-4,1.0032247309885647
Bayes-M4-geo,ccvi,FALSE,hazard ratio,1.7986244939660763,1.238658293152534,2.6343430770965246,0.993,1.0032247309885647
Bayes-M4-geo,d_min,FALSE,hazard ratio,0.6438437157349748,0.48901638636000627,0.8291239972697592,0.004,1.0032247309885647
Bayes-M10-geo,Intercept,TRUE,hazard ratio,0.08643317994740063,0.04799291338264988,0.13588483947546123,NA,1.0072887792547482
Bayes-M10-geo,log_pop,FALSE,hazard ratio,0.6715910922146191,0.5369385723180228,0.8464904704610954,0.002,1.0072887792547482
Bayes-M10-geo,ccvi,FALSE,hazard ratio,1.9098299095881688,1.4169590880439984,2.6764684185589873,1,1.0072887792547482
Bayes-M10-geo,d_min,FALSE,hazard ratio,0.8398856184409556,0.6426979008664357,1.0495470999879992,0.102,1.0072887792547482
Bayes-M4-dist,Intercept,TRUE,hazard ratio,0.051435764108193935,0.04091864978100331,0.06446483792054974,NA,1.0088301029377724
Bayes-M4-dist-geo,Intercept,TRUE,hazard ratio,0.03837436881465503,0.021680432225967064,0.0656675157049131,NA,1.007166206447737
Bayes-M4-dist-geo,log_pop,FALSE,hazard ratio,0.6396471708716818,0.506245981471694,0.820872969050722,5e-4,1.007166206447737
Bayes-M4-dist-geo,ccvi,FALSE,hazard ratio,1.5514664760991503,1.0321201998571512,2.3428216310779852,0.961,1.007166206447737
Bayes-M4-dist-geo,d_min,FALSE,hazard ratio,0.8209123588259637,0.6281128260893301,1.0686747883837784,0.118,1.007166206447737
Bayes-M8-dist,Intercept,TRUE,hazard ratio,0.06698957054377183,0.0540810356267716,0.08386373553433117,NA,1.0008625973042629
Bayes-M8-dist-geo,Intercept,TRUE,hazard ratio,0.04587009772115108,0.02599317034242978,0.07433928145923312,NA,1.0021221331569212
Bayes-M8-dist-geo,log_pop,FALSE,hazard ratio,0.6864178549832098,0.5423325968083058,0.8755718782622502,0.007,1.0021221331569212
Bayes-M8-dist-geo,ccvi,FALSE,hazard ratio,1.850614311744586,1.3154727488472526,2.7725901799418295,0.998,1.0021221331569212
Bayes-M8-dist-geo,d_min,FALSE,hazard ratio,0.7645775670211503,0.5806432770295266,0.9603939011570976,0.028,1.0021221331569212
Bayes-M10-dist,Intercept,TRUE,hazard ratio,0.0764552830303919,0.06120475860183824,0.09624367910032058,NA,0.9998884682576901
Bayes-M10-dist-geo,Intercept,TRUE,hazard ratio,0.10312886619340794,0.06026339344465022,0.16963159713343492,NA,1.0026284975617215
Bayes-M10-dist-geo,log_pop,FALSE,hazard ratio,0.7043506287611107,0.5512940779930242,0.899357498586708,0.0115,1.0026284975617215
Bayes-M10-dist-geo,ccvi,FALSE,hazard ratio,2.039379840026955,1.4708756444309765,3.0044529231621975,1,1.0026284975617215
Bayes-M10-dist-geo,d_min,FALSE,hazard ratio,1.0661701318390562,0.8302409897874141,1.351147660648399,0.6715,1.0026284975617215
